borough,imd_avg_quintile,anxiety_score,life_satisfaction_score,economic_inactivity_pct,top_other_language,population,in_trust_catchment
Tower Hamlets,1,4.1,7.2,16.8,Bengali,324000,True
Hackney,1,3.88,7.35,14.2,Turkish,281000,True
Lambeth,2,3.55,7.45,12.1,Portuguese,318000,True
Southwark,2,3.48,7.5,11.7,Yoruba,307000,True
Islington,2,3.62,7.42,12.9,Spanish,216000,True
Newham,1,3.95,7.1,18.1,Bengali,352000,False
Camden,3,3.4,7.55,10.8,Bengali,210000,False
Greenwich,3,3.3,7.6,11.2,Nepali,290000,False
Lewisham,2,3.52,7.48,12.4,Yoruba,300000,False
Wandsworth,4,3.1,7.75,9.4,Polish,327000,False
